query	page	country	clicks	impressions	ctr	position	start_date	end_date	domain
energy recruiters	https://www.energists.com/location/manchester-energy-recruiters/	GB	1.0	2.0	0.5	6.0	2023-01-03	2022-12-06	energists.com
energy recruiters	https://www.energists.com/location/new-york-energy-recruiters/	US	1.0	28.0	0.03571428571428571	3.0	2023-01-03	2022-12-06	energists.com
energy recruiters	https://www.energists.com/location/philadelphia-energy-recruiters/	US	1.0	9.0	0.1111111111111111	3.2222222222222223	2023-01-03	2022-12-06	energists.com
energy recruiting firms	https://www.energists.com/location/boston-energy-recruiters/	US	1.0	1.0	1.0	2.0	2023-01-03	2022-12-06	energists.com
energy recruiting firms	https://www.energists.com/location/houston-energy-recruiters/	US	1.0	2.0	0.5	2.0	2023-01-03	2022-12-06	energists.com
energy recruitment agency	https://www.energists.com/location/dubai-energy-recruiters/	AE	1.0	7.0	0.14285714285714285	7.571428571428571	2023-01-03	2022-12-06	energists.com
energy sector recruitment	https://www.energists.com/sector/power-utilities-recruiters/	US	1.0	4.0	0.25	8.0	2023-01-03	2022-12-06	energists.com
executive oil and gas jobs	https://www.energists.com/location/houston-energy-recruiters/	US	1.0	1.0	1.0	38.0	2023-01-03	2022-12-06	energists.com
executive recruiters houston	https://www.energists.com/location/houston-energy-recruiters/	US	1.0	116.0	0.008620689655172414	14.439655172413794	2023-01-03	2022-12-06	energists.com
executive search oil and gas	https://www.energists.com/sector/oil-gas-recruiters/	AE	1.0	2.0	0.5	1.5	2023-01-03	2022-12-06	energists.com
executive search oil and gas	https://www.energists.com/sector/oil-gas-recruiters/	LT	1.0	1.0	1.0	3.0	2023-01-03	2022-12-06	energists.com
executive search oil and gas	https://www.energists.com/sector/oil-gas-recruiters/	US	1.0	16.0	0.0625	1.5	2023-01-03	2022-12-06	energists.com
headhunter dubai	https://www.energists.com/location/dubai-energy-recruiters/	DE	1.0	4.0	0.25	41.0	2023-01-03	2022-12-06	energists.com
headhunter oil and gas	https://www.energists.com/sector/oil-gas-recruiters/	US	1.0	8.0	0.125	1.875	2023-01-03	2022-12-06	energists.com
headhunter renewable energy	https://www.energists.com/location/los-angeles-energy-recruiters/	US	1.0	1.0	1.0	4.0	2023-01-03	2022-12-06	energists.com
houston executive recruiters	https://www.energists.com/location/houston-energy-recruiters/	US	1.0	74.0	0.013513513513513514	14.945945945945946	2023-01-03	2022-12-06	energists.com
houston recruiters	https://www.energists.com/location/houston-energy-recruiters/	US	1.0	10.0	0.1	24.7	2023-01-03	2022-12-06	energists.com
houston recruiters oil and gas	https://www.energists.com/location/houston-energy-recruiters/	US	1.0	4.0	0.25	3.25	2023-01-03	2022-12-06	energists.com
list of oil and gas recruiters	https://www.energists.com/sector/oil-gas-recruiters/	AE	1.0	1.0	1.0	9.0	2023-01-03	2022-12-06	energists.com
oil & gas recruitment	https://www.energists.com/sector/oil-gas-recruiters/	US	1.0	46.0	0.021739130434782608	65.84782608695652	2023-01-03	2022-12-06	energists.com
oil and gas executive recruiters	https://www.energists.com/location/denver-energy-recruiters/	US	1.0	1.0	1.0	2.0	2023-01-03	2022-12-06	energists.com
